Zeit	Kanal A	Kanal B
(s)	(V)	(V)
-17.63281037	0.18555250	1.76702200
-17.63147637	0.18692590	1.76702200
-17.63014237	0.18768880	1.77465100
-17.62880837	0.18829920	1.77465100
-17.62747437	0.18829920	1.77465100
-17.62614037	0.18768880	1.77465100
-17.62480637	0.18692590	1.77465100
-17.62347237	0.18692590	1.77465100
-17.62213837	0.18692590	1.78075500
-17.62080437	0.18768880	1.78075500
-17.61947037	0.18829920	1.78075500
-17.61813637	0.18906220	1.78075500
-17.61680237	0.18906220	1.78075500
-17.61546837	0.18829920	1.78075500
-17.61413437	0.18768880	1.78075500
-17.61280037	0.18829920	1.78075500
-17.61146637	0.18982510	1.78075500
-17.61013237	0.19043550	1.78075500
-17.60879837	0.19119850	1.78838500
-17.60746437	0.19196140	1.78838500
-17.60613037	0.19119850	1.78838500
-17.60479637	0.19043550	1.78838500
-17.60346237	0.18982510	1.78838500
-17.60212837	0.18982510	1.79601400
-17.60079437	0.19043550	1.80211800
-17.59946037	0.19196140	1.80211800
-17.59812637	0.19196140	1.80211800
-17.59679237	0.19196140	1.80211800
-17.59545837	0.19119850	1.80211800
-17.59412437	0.19119850	1.80211800
-17.59279037	0.19119850	1.80211800
-17.59145637	0.19196140	1.80211800
-17.59012237	0.19333480	1.80974800
-17.58878837	0.19409770	1.80974800
-17.58745437	0.19409770	1.80974800
-17.58612037	0.19257180	1.80974800
-17.58478637	0.19196140	1.80974800
-17.58345237	0.19119850	1.81585100
-17.58211837	0.19119850	1.82348100
-17.58078437	0.19196140	1.82348100
-17.57945037	0.19257180	1.83111100
-17.57811637	0.19333480	1.83111100
-17.57678237	0.19333480	1.83111100
-17.57544837	0.19196140	1.83721400
-17.57411437	0.19119850	1.83721400
-17.57278037	0.19196140	1.84484400
-17.57144637	0.19333480	1.84484400
-17.57011237	0.19470810	1.85094800
-17.56877837	0.19547100	1.85094800
-17.56744437	0.19623400	1.85857700
-17.56611037	0.19547100	1.86620700
-17.56477637	0.19470810	1.87231100
-17.56344237	0.19409770	1.87994000
-17.56210837	0.19470810	1.88604400
-17.56077437	0.19547100	1.88604400
-17.55944037	0.19623400	1.89367400
-17.55810637	0.19623400	1.90130300
-17.55677237	0.19623400	1.90740700
-17.55543837	0.19547100	1.91503600
-17.55410437	0.19547100	1.91503600
-17.55277037	0.19623400	1.92114000
-17.55143637	0.19684440	1.92877000
-17.55010237	0.19760740	1.93639900
-17.54876837	0.19837030	1.94250300
-17.54743437	0.19898070	1.95013300
-17.54610037	0.19837030	1.95013300
-17.54476637	0.19760740	1.95776200
-17.54343237	0.19684440	1.96386600
-17.54209837	0.19760740	1.97149600
-17.54076436	0.19837030	1.97759900
-17.53943036	0.19898070	1.98522900
-17.53809636	0.19898070	1.98522900
-17.53676236	0.19898070	1.99285900
-17.53542836	0.19837030	1.99896200
-17.53409436	0.19760740	2.00659200
-17.53276036	0.19760740	2.01269600
-17.53142636	0.19837030	2.01269600
-17.53009236	0.19898070	2.02032500
-17.52875836	0.19974360	2.02795500
-17.52742436	0.19898070	2.03405900
-17.52609036	0.19837030	2.04168800
-17.52475636	0.19760740	2.04779200
-17.52342236	0.19684440	2.04779200
-17.52208836	0.19623400	2.05542200
-17.52075436	0.19684440	2.06305100
-17.51942036	0.19760740	2.06915500
-17.51808636	0.19837030	2.07678500
-17.51675236	0.19837030	2.08288800
-17.51541836	0.19760740	2.09051800
-17.51408436	0.19760740	2.09814800
-17.51275036	0.19837030	2.10425100
-17.51141636	0.19898070	2.11188100
-17.51008236	0.19974360	2.11951000
-17.50874836	0.20050660	2.12561400
-17.50741436	0.20111700	2.13324400
-17.50608036	0.20050660	2.13934800
-17.50474636	0.19974360	2.13934800
-17.50341236	0.19898070	2.14697700
-17.50207836	0.19974360	2.15460700
-17.50074436	0.20111700	2.15460700
-17.49941036	0.20187990	2.16071100
-17.49807636	0.20187990	2.16071100
-17.49674236	0.20187990	2.16071100
-17.49540836	0.20111700	2.16834000
-17.49407436	0.20050660	2.16834000
-17.49274036	0.20050660	2.17444400
-17.49140636	0.20111700	2.18207300
-17.49007236	0.20249030	2.18207300
-17.48873836	0.20325330	2.18970300
-17.48740436	0.20325330	2.18970300
-17.48607036	0.20249030	2.19580700
-17.48473636	0.20187990	2.19580700
-17.48340236	0.20187990	2.20343600
-17.48206836	0.20187990	2.20343600
-17.48073436	0.20249030	2.20343600
-17.47940036	0.20325330	2.20343600
-17.47806636	0.20401620	2.20343600
-17.47673236	0.20325330	2.20343600
-17.47539836	0.20249030	2.21717000
-17.47406436	0.20249030	2.21717000
-17.47273036	0.20325330	2.21717000
-17.47139636	0.20401620	2.22479900
-17.47006236	0.20462660	2.22479900
-17.46872836	0.20538960	2.23090300
-17.46739436	0.20538960	2.23090300
-17.46606036	0.20538960	2.23090300
-17.46472636	0.20462660	2.23090300
-17.46339236	0.20401620	2.23090300
-17.46205836	0.20401620	2.23090300
-17.46072436	0.20462660	2.23853300
-17.45939036	0.20538960	2.23853300
-17.45805636	0.20615250	2.23853300
-17.45672236	0.20538960	2.23853300
-17.45538836	0.20462660	2.23853300
-17.45405436	0.20462660	2.23853300
-17.45272036	0.20538960	2.24616200
-17.45138636	0.20615250	2.24616200
-17.45005236	0.20752590	2.24616200
-17.44871836	0.20828880	2.25226600
-17.44738436	0.20828880	2.25989600
-17.44605036	0.20752590	2.26599900
-17.44471636	0.20752590	2.26599900
-17.44338236	0.20752590	2.27362900
-17.44204836	0.20828880	2.28125900
-17.44071436	0.20889920	2.28125900
-17.43938036	0.20966220	2.28736200
-17.43804636	0.21042510	2.29499200
-17.43671236	0.21042510	2.29499200
-17.43537836	0.21042510	2.30109500
-17.43404436	0.21042510	2.30872500
-17.43271036	0.21042510	2.31635500
-17.43137636	0.21179850	2.31635500
-17.43004236	0.21256140	2.32245900
-17.42870836	0.21256140	2.33008800
-17.42737436	0.21256140	2.33619200
-17.42604036	0.21256140	2.34382200
-17.42470636	0.21256140	2.35145100
-17.42337236	0.21256140	2.35755500
-17.42203836	0.21256140	2.36518400
-17.42070436	0.21393470	2.37128800
-17.41937036	0.21469770	2.37891800
-17.41803636	0.21530810	2.38654800
-17.41670236	0.21469770	2.39265100
-17.41536836	0.21469770	2.40028100
-17.41403436	0.21469770	2.40791000
-17.41270036	0.21530810	2.41401400
-17.41136636	0.21683400	2.41401400
-17.41003236	0.21820730	2.42164400
-17.40869836	0.21958070	2.42774700
-17.40736436	0.22034360	2.43537700
-17.40603036	0.21958070	2.44300700
-17.40469636	0.21897030	2.44911100
-17.40336236	0.21897030	2.45674000
-17.40202836	0.21897030	2.46284400
-17.40069436	0.22034360	2.47047300
-17.39936036	0.22110660	2.47810300
-17.39802636	0.22110660	2.48420700
-17.39669236	0.22110660	2.49183600
-17.39535836	0.22110660	2.49183600
-17.39402436	0.22110660	2.49794000
-17.39269036	0.22110660	2.50557000
-17.39135636	0.22247990	2.51319900
-17.39002236	0.22385330	2.51319900
-17.38868836	0.22385330	2.51930300
-17.38735436	0.22385330	2.52693300
-17.38602036	0.22385330	2.52693300
-17.38468636	0.22385330	2.53303600
-17.38335236	0.22385330	2.54066600
-17.38201836	0.22385330	2.54829500
-17.38068436	0.22385330	2.55439900
-17.37935036	0.22522660	2.56202900
-17.37801636	0.22598960	2.56965900
-17.37668236	0.22598960	2.57576200
-17.37534836	0.22598960	2.58339200
-17.37401436	0.22598960	2.58949500
-17.37268036	0.22675250	2.59712500
-17.37134636	0.22812590	2.60475500
-17.37001236	0.22949920	2.61085800
-17.36867836	0.23026220	2.61848800
-17.36734436	0.23102510	2.62459200
-17.36601036	0.23102510	2.63222200
-17.36467636	0.23026220	2.63985100
-17.36334236	0.23026220	2.63985100
-17.36200836	0.23102510	2.63985100
-17.36067436	0.23239850	2.64595500
-17.35934036	0.23316140	2.65358400
-17.35800636	0.23316140	2.65358400
-17.35667236	0.23316140	2.65358400
-17.35533836	0.23316140	2.65968800
-17.35400436	0.23316140	2.65968800
-17.35267036	0.23377180	2.65968800
-17.35133636	0.23529770	2.66731800
-17.35000236	0.23667100	2.66731800
-17.34866836	0.23743400	2.66731800
